№;Наименование объекта;Адрес;Контактный телефон;Режим работы;long;lat
1;МФЦ района арбат;город Москва, переулок Сивцев Вражек, дом 20;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.59393749999994;55.747844568986146
2;МФЦ района Басманный;город Москва, Центросоюзный переулок, дом 13, строение 3;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.68570949999999;55.780122068979715
3;МФЦ района Замоскворечье  ;город Москва, улица Бахрушина, дом 13  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.63559249999989;55.735504569014054
4;МФЦ района Красносельский  ;город Москва, Верхняя Красносельская улица, дом 3, строение 2;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.660520999999946;55.78597906893511
5;МФЦ района Мещанский;город Москва, Слесарный переулок, дом 5  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.63695800000001;55.78455156896128
6;МФЦ района Пресненский  ;город Москва, Большая Декабрьская улица, дом 13;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.554995499999926;55.76726056897647
7;МФЦ района Таганский;город Москва, бульвар Энтузиастов, дом 2  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:00;37.682592500000005;55.7464055689825
8;МФЦ района Тверской  ;город Москва, Настасьинский переулок, дом 7  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:01;37.60492399999998;55.76775706894792
9;МФЦ района Хамовники;город Москва, Смоленский бульвар, дом 24, строение 1  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:02;37.58468499999998;55.74306106900368
10;МФЦ района Якиманка  ;город Москва, Якиманский переулок, дом 6, строение 1  ;(495) 777-77-77  ;понедельник - воскресенье 08:00 - 20:03;37.609972499999955;55.733492569008874
